"","ReferenceID","Block","Lot","BuildingAddress","NoticeDate","Neighborhood","PoliceDistrict","CouncilDistrict","Location","Latitude","Longitude"
"130","2475H062 032316","2475H","062","955 ELLICOTT DRIVEWAY",2016-03-23,"FRANKLINTOWN ROAD","SOUTHWESTERN","9","(39.29843223, -76.66863655)","39.29843223"," -76.66863655"
"131","2523B009 031716","2523B","009","917 ALLENDALE ST",2016-03-17,"EDGEWOOD","SOUTHWESTERN","8","(39.29852452, -76.67838633)","39.29852452"," -76.67838633"
"132","2537 023 032416","2537","023","4124 WALRAD ST",2016-03-24,"IRVINGTON","SOUTHWESTERN","8","(39.28018866, -76.6842452)","39.28018866"," -76.6842452"
"133","2545 004 032216","2545","004","222 S AUGUSTA AVE",2016-03-22,"IRVINGTON","SOUTHWESTERN","8","(39.28192385, -76.68503873)","39.28192385"," -76.68503873"
"134","2733 011 031516","2733","011","4002 MAINE AVE",2016-03-15,"CENTRAL FOREST PARK","NORTHWESTERN","6","(39.32748673, -76.68610865)","39.32748673"," -76.68610865"
"135","2880B004 032416","2880B","004","3807 CLIFTON AVE",2016-03-24,"FAIRMONT","SOUTHWESTERN","7","(39.31038899, -76.68199412)","39.31038899"," -76.68199412"
"136","3004 007 031516","3004","007","2916 W NORTH AVE",2016-03-15,"WALBROOK","SOUTHWESTERN","7","(39.30938097, -76.6663401)","39.30938097"," -76.6663401"
"137","3085A059 032416","3085A","059","2135 KOKO LANE",2016-03-24,"PANWAY/BRADDISH AVENUE","WESTERN","7","(39.31228221, -76.66306491)","39.31228221"," -76.66306491"
"138","3207 069 031516","3207","069","1905 HERBERT ST",2016-03-15,"MONDAWMIN","WESTERN","7","(39.3102319, -76.6486453)","39.3102319"," -76.6486453"
"139","3241 024 031416","3241","024","2214 BRYANT AVE",2016-03-14,"PARKVIEW/WOODBROOK","WESTERN","7","(39.31682353, -76.6491423)","39.31682353"," -76.6491423"
"140","3307B024 031416","3307B","024","2602 ROSEWOOD AVE",2016-03-14,"CENTRAL PARK HEIGHTS","NORTHWESTERN","6","(39.33892017, -76.66447909)","39.33892017"," -76.66447909"
"141","3311 012 032416","3311","012","4224 PARK HEIGHTS AVE",2016-03-24,"CENTRAL PARK HEIGHTS","NORTHWESTERN","6","(39.3371612, -76.66491026)","39.3371612"," -76.66491026"
"142","3406 063 031716","3406","063","2525 PENNSYLVANIA AVE",2016-03-17,"PENN NORTH","WESTERN","7","(39.31069749, -76.64285033)","39.31069749"," -76.64285033"
"143","3424 093 032116","3424","093","2225 MADISON AVE",2016-03-21,"RESERVOIR HILL","CENTRAL","7","(39.31105758, -76.63594744)","39.31105758"," -76.63594744"
"144","3434 001 031516","3434","001","850 W NORTH AVE",2016-03-15,"RESERVOIR HILL","CENTRAL","7","(39.3111532, -76.63011842)","39.3111532"," -76.63011842"
"145","3447 037 031616","3447","037","2327 LINDEN AVE",2016-03-16,"RESERVOIR HILL","CENTRAL","7","(39.31373953, -76.63499707)","39.31373953"," -76.63499707"
"146","3816 015 032216","3816","015","318 E 22ND ST",2016-03-22,"BARCLAY","EASTERN","12","(39.3147188, -76.61203734)","39.3147188"," -76.61203734"
"147","3825 042 031416","3825","042","2427 BRENTWOOD AVE",2016-03-14,"BARCLAY","EASTERN","12","(39.31694487, -76.61013038)","39.31694487"," -76.61013038"
"148","4010P005 032316","4010P","005","808 BONAPARTE AVE",2016-03-23,"EAST BALTIMORE MIDWAY","EASTERN","12","(39.31712807, -76.6026079)","39.31712807"," -76.6026079"
"149","4011B040 031716","4011B","040","2005 KENNEDY AVE",2016-03-17,"EAST BALTIMORE MIDWAY","EASTERN","12","(39.31324691, -76.60409167)","39.31324691"," -76.60409167"
"150","4013A015 032416","4013A","015","1028 E 20TH ST",2016-03-24,"EAST BALTIMORE MIDWAY","EASTERN","12","(39.31295693, -76.60439148)","39.31295693"," -76.60439148"
"151","4074A038 031416","4074A","038","3048 MATHEWS ST",2016-03-14,"BETTER WAVERLY","NORTHERN","14","(39.32560298, -76.60692029)","39.32560298"," -76.60692029"
"152","3954 023 032116","3954","023","1717 E 30TH ST",2016-03-21,"Coldstream Homestead Montebello","Notheastern","14","(39.32513391, -76.59136773)","39.32513391"," -76.59136773"
"153","3971G021 032316","3971G","021","1240 NORTHVIEW ROAD",2016-03-23,"Original Northwood","Notheastern","3","(39.34271144, -76.59740536)","39.34271144"," -76.59740536"
